Date,Day,Tests,Cases,People.Not.Positive...Total,People.Tested...Age.0.17,People.Tested...Age.18.29,People.Tested...Age.30.39,People.Tested...Age.40.49,People.Tested...Age.50.59,People.Tested...Age.60.69,People.Tested...Age.70.79,People.Tested...Age.80.,People.Tested...Age.Unknown,People.Tested...Female,People.Tested...Male,People.Tested...Gender.Unknown,People.Tested...Latinx,People.Tested...Asian.Non.Latinx,People.Tested...Black.Non.Latinx,People.Tested...White.Non.Latinx,People.Tested...Other.Race.Non.Latinx,People.Tested...Unknown.Race.Ethnicity,People.Positive...Age.0.17,People.Positive...Age.18.29,People.Positive...Age.30.30,People.Positive...Age.40.49,People.Positive...Age.50.59,People.Positive...Age.60.69,People.Positive...Age.70.79,People.Positive...Age.80.,People.Positive...Age.Unknown,People.Positive...Female,People.Positive...Male,People.Positive...Gender.Unknown,People.Positive...Latinx,People.Positive...Asian.Non.Latinx,People.Positive...Black.Non.Latinx,People.Positive...White.Non.Latinx,People.Positive...Other.Race.Non.Latinx,People.Positive...Unknown.Race.Ethnicity,People.Not.Positive...Age.0.17,People.Not.Positive...Age.18.29,People.Not.Positive...Age.30.39,People.Not.Positive...Age.40.49,People.Not.Positive...Age.50.59,People.Not.Positive...Age.60.69,People.Not.Positive...Age.70.79,People.Not.Positive...Age.80.,People.Not.Positive...Age.Unknown,People.Not.Positive...Female,People.Not.Positive...Male,People.Not.Positive...Gender.Unknown,People.Not.Positive...Latinx,People.Not.Positive...Asian.Non.Latinx,People.Not.Positive...Black.Non.Latinx,People.Not.Positive...White.Non.Latinx,People.Not.Positive...Other.Race.Non.Latinx,People.Not.Positive...Unknown.Race.Ethnicity
5/21/2020,Thursday,4883.00,797.00,4086.00,322.00,876.00,835.00,709.00,705.00,650.00,380.00,391.00,15.00,2645.00,2067.00,171.00,1017.00,58.00,705.00,467.00,147.00,2489.00,71.00,179.00,134.00,121.00,123.00,76.00,51.00,42.00,0.00,414.00,366.00,17.00,359.00,22.00,127.00,48.00,27.00,214.00,251.00,697.00,701.00,588.00,582.00,574.00,329.00,349.00,15.00,2231.00,1701.00,154.00,658.00,36.00,578.00,419.00,120.00,2275.00
4/10/2020,Friday,1810.00,558.00,1252.00,71.00,267.00,364.00,328.00,333.00,257.00,118.00,71.00,1.00,931.00,865.00,14.00,265.00,47.00,449.00,240.00,87.00,722.00,20.00,79.00,98.00,97.00,107.00,85.00,38.00,34.00,0.00,251.00,300.00,7.00,161.00,24.00,207.00,74.00,25.00,67.00,51.00,188.00,266.00,231.00,226.00,172.00,80.00,37.00,1.00,680.00,565.00,7.00,104.00,23.00,242.00,166.00,62.00,655.00
5/18/2020,Monday,5748.00,941.00,4807.00,358.00,1038.00,1005.00,914.00,897.00,804.00,456.00,263.00,13.00,3010.00,2541.00,197.00,1227.00,81.00,813.00,637.00,139.00,2851.00,64.00,233.00,153.00,188.00,148.00,84.00,46.00,24.00,1.00,493.00,435.00,13.00,416.00,10.00,142.00,68.00,35.00,270.00,294.00,805.00,852.00,726.00,749.00,720.00,410.00,239.00,12.00,2517.00,2106.00,184.00,811.00,71.00,671.00,569.00,104.00,2581.00
4/11/2020,Saturday,1293.00,391.00,902.00,45.00,201.00,275.00,223.00,231.00,164.00,94.00,60.00,0.00,658.00,626.00,9.00,171.00,31.00,323.00,185.00,67.00,516.00,7.00,52.00,70.00,65.00,81.00,53.00,37.00,26.00,0.00,182.00,208.00,1.00,97.00,18.00,141.00,53.00,15.00,67.00,38.00,149.00,205.00,158.00,150.00,111.00,57.00,34.00,0.00,476.00,418.00,8.00,74.00,13.00,182.00,132.00,52.00,449.00
5/28/2020,Thursday,4380.00,508.00,3872.00,253.00,866.00,802.00,678.00,673.00,619.00,294.00,187.00,8.00,2220.00,1949.00,211.00,743.00,66.00,591.00,576.00,129.00,2275.00,41.00,105.00,87.00,95.00,67.00,61.00,28.00,24.00,0.00,251.00,251.00,6.00,204.00,7.00,106.00,55.00,16.00,120.00,212.00,761.00,715.00,583.00,606.00,558.00,266.00,163.00,8.00,1969.00,1698.00,205.00,539.00,59.00,485.00,521.00,113.00,2155.00
4/19/2020,Sunday,1429.00,457.00,972.00,50.00,250.00,277.00,219.00,221.00,194.00,110.00,107.00,1.00,709.00,712.00,8.00,248.00,58.00,355.00,228.00,83.00,457.00,7.00,68.00,61.00,66.00,75.00,72.00,48.00,60.00,0.00,208.00,247.00,2.00,139.00,20.00,169.00,53.00,25.00,51.00,43.00,182.00,216.00,153.00,146.00,122.00,62.00,47.00,1.00,501.00,465.00,6.00,109.00,38.00,186.00,175.00,58.00,406.00
3/15/2020,Sunday,187.00,40.00,147.00,17.00,34.00,42.00,28.00,25.00,20.00,14.00,7.00,0.00,93.00,93.00,1.00,26.00,9.00,48.00,41.00,9.00,54.00,0.00,3.00,8.00,9.00,8.00,5.00,4.00,3.00,0.00,13.00,27.00,0.00,6.00,4.00,12.00,16.00,0.00,2.00,17.00,31.00,34.00,19.00,17.00,15.00,10.00,4.00,0.00,80.00,66.00,1.00,20.00,5.00,36.00,25.00,9.00,52.00
3/19/2020,Thursday,943.00,186.00,757.00,55.00,171.00,225.00,157.00,138.00,114.00,55.00,25.00,3.00,550.00,383.00,10.00,57.00,40.00,289.00,241.00,31.00,285.00,5.00,35.00,48.00,36.00,25.00,18.00,17.00,2.00,0.00,87.00,98.00,1.00,19.00,10.00,80.00,64.00,7.00,6.00,50.00,136.00,177.00,121.00,113.00,96.00,38.00,23.00,3.00,463.00,285.00,9.00,38.00,30.00,209.00,177.00,24.00,279.00
5/15/2020,Friday,5529.00,986.00,4543.00,329.00,1008.00,1004.00,878.00,887.00,719.00,379.00,317.00,8.00,2990.00,2366.00,173.00,1184.00,65.00,689.00,584.00,147.00,2860.00,81.00,188.00,203.00,172.00,141.00,100.00,65.00,36.00,0.00,545.00,430.00,11.00,442.00,11.00,162.00,80.00,35.00,256.00,248.00,820.00,801.00,706.00,746.00,619.00,314.00,281.00,8.00,2445.00,1936.00,162.00,742.00,54.00,527.00,504.00,112.00,2604.00
4/4/2020,Saturday,983.00,323.00,660.00,20.00,134.00,172.00,181.00,202.00,151.00,72.00,51.00,0.00,505.00,467.00,11.00,92.00,28.00,278.00,126.00,56.00,403.00,2.00,34.00,36.00,61.00,70.00,63.00,33.00,24.00,0.00,151.00,172.00,0.00,70.00,14.00,141.00,41.00,19.00,38.00,18.00,100.00,136.00,120.00,132.00,88.00,39.00,27.00,0.00,354.00,295.00,11.00,22.00,14.00,137.00,85.00,37.00,365.00
3/28/2020,Saturday,824.00,252.00,572.00,23.00,129.00,167.00,153.00,136.00,114.00,62.00,39.00,1.00,457.00,365.00,2.00,56.00,14.00,221.00,108.00,34.00,391.00,2.00,29.00,53.00,38.00,45.00,38.00,28.00,19.00,0.00,137.00,113.00,2.00,37.00,5.00,135.00,43.00,9.00,23.00,21.00,100.00,114.00,115.00,91.00,76.00,34.00,20.00,1.00,320.00,252.00,0.00,19.00,9.00,86.00,65.00,25.00,368.00
4/20/2020,Monday,3047.00,975.00,2072.00,105.00,502.00,550.00,606.00,555.00,434.00,178.00,114.00,3.00,1563.00,1407.00,77.00,627.00,83.00,628.00,417.00,115.00,1177.00,23.00,155.00,178.00,206.00,193.00,124.00,54.00,41.00,1.00,475.00,490.00,10.00,394.00,26.00,240.00,112.00,45.00,158.00,82.00,347.00,372.00,400.00,362.00,310.00,124.00,73.00,2.00,1088.00,917.00,67.00,233.00,57.00,388.00,305.00,70.00,1019.00
5/11/2020,Monday,4699.00,1009.00,3690.00,298.00,876.00,915.00,756.00,650.00,585.00,387.00,227.00,5.00,2466.00,2104.00,129.00,1024.00,57.00,615.00,610.00,115.00,2278.00,61.00,204.00,198.00,192.00,141.00,115.00,68.00,30.00,0.00,507.00,483.00,19.00,512.00,13.00,145.00,79.00,29.00,231.00,237.00,672.00,717.00,564.00,509.00,470.00,319.00,197.00,5.00,1959.00,1621.00,110.00,512.00,44.00,470.00,531.00,86.00,2047.00
4/2/2020,Thursday,1419.00,437.00,982.00,35.00,206.00,283.00,265.00,283.00,166.00,114.00,67.00,0.00,758.00,627.00,34.00,134.00,23.00,402.00,164.00,57.00,639.00,2.00,59.00,69.00,84.00,92.00,56.00,41.00,34.00,0.00,208.00,224.00,5.00,89.00,13.00,224.00,57.00,15.00,39.00,33.00,147.00,214.00,181.00,191.00,110.00,73.00,33.00,0.00,550.00,403.00,29.00,45.00,10.00,178.00,107.00,42.00,600.00
,,647.00,133.00,514.00,13.00,42.00,59.00,66.00,74.00,62.00,54.00,75.00,202.00,307.00,317.00,23.00,149.00,15.00,202.00,130.00,27.00,124.00,2.00,24.00,30.00,24.00,24.00,12.00,10.00,5.00,2.00,64.00,63.00,6.00,21.00,6.00,31.00,10.00,6.00,59.00,11.00,18.00,29.00,42.00,50.00,50.00,44.00,70.00,200.00,243.00,254.00,17.00,128.00,9.00,171.00,120.00,21.00,65.00
4/12/2020,Sunday,993.00,333.00,660.00,63.00,145.00,180.00,152.00,182.00,113.00,96.00,61.00,1.00,458.00,505.00,30.00,128.00,20.00,225.00,149.00,51.00,420.00,28.00,32.00,55.00,53.00,58.00,42.00,34.00,31.00,0.00,139.00,177.00,17.00,88.00,7.00,113.00,52.00,20.00,53.00,35.00,113.00,125.00,99.00,124.00,71.00,62.00,30.00,1.00,319.00,328.00,13.00,40.00,13.00,112.00,97.00,31.00,367.00
4/7/2020,Tuesday,1674.00,545.00,1129.00,34.00,248.00,360.00,295.00,272.00,243.00,122.00,100.00,0.00,907.00,752.00,15.00,233.00,35.00,406.00,236.00,81.00,683.00,2.00,80.00,107.00,91.00,82.00,79.00,54.00,50.00,0.00,286.00,252.00,7.00,163.00,16.00,189.00,88.00,26.00,63.00,32.00,168.00,253.00,204.00,190.00,164.00,68.00,50.00,0.00,621.00,500.00,8.00,70.00,19.00,217.00,148.00,55.00,620.00
4/5/2020,Sunday,862.00,293.00,569.00,18.00,122.00,145.00,152.00,186.00,125.00,63.00,51.00,0.00,431.00,422.00,9.00,87.00,23.00,199.00,104.00,45.00,404.00,3.00,31.00,48.00,49.00,73.00,43.00,22.00,24.00,0.00,126.00,164.00,3.00,68.00,11.00,112.00,53.00,13.00,36.00,15.00,91.00,97.00,103.00,113.00,82.00,41.00,27.00,0.00,305.00,258.00,6.00,19.00,12.00,87.00,51.00,32.00,368.00
3/24/2020,Tuesday,1286.00,353.00,933.00,38.00,198.00,320.00,254.00,213.00,146.00,79.00,38.00,0.00,703.00,580.00,3.00,88.00,31.00,279.00,208.00,52.00,628.00,1.00,59.00,69.00,58.00,57.00,61.00,34.00,14.00,0.00,160.00,192.00,1.00,63.00,13.00,158.00,84.00,9.00,26.00,37.00,139.00,251.00,196.00,156.00,85.00,45.00,24.00,0.00,543.00,388.00,2.00,25.00,18.00,121.00,124.00,43.00,602.00
4/8/2020,Wednesday,1877.00,693.00,1184.00,38.00,271.00,365.00,314.00,375.00,278.00,145.00,89.00,2.00,951.00,872.00,54.00,268.00,43.00,508.00,284.00,93.00,681.00,11.00,81.00,99.00,104.00,154.00,129.00,68.00,47.00,0.00,312.00,340.00,41.00,169.00,21.00,295.00,101.00,32.00,75.00,27.00,190.00,266.00,210.00,221.00,149.00,77.00,42.00,2.00,639.00,532.00,13.00,99.00,22.00,213.00,183.00,61.00,606.00
5/26/2020,Tuesday,5971.00,734.00,5237.00,397.00,1167.00,1080.00,908.00,957.00,819.00,387.00,243.00,13.00,3024.00,2695.00,252.00,1177.00,114.00,880.00,725.00,196.00,2879.00,60.00,161.00,127.00,135.00,119.00,73.00,39.00,20.00,0.00,381.00,345.00,8.00,340.00,12.00,104.00,55.00,36.00,187.00,337.00,1006.00,953.00,773.00,838.00,746.00,348.00,223.00,13.00,2643.00,2350.00,244.00,837.00,102.00,776.00,670.00,160.00,2692.00
3/13/2020,Friday,149.00,32.00,117.00,12.00,30.00,44.00,19.00,21.00,13.00,8.00,2.00,0.00,58.00,71.00,20.00,12.00,6.00,7.00,29.00,0.00,95.00,0.00,4.00,13.00,5.00,5.00,5.00,0.00,0.00,0.00,7.00,25.00,0.00,4.00,2.00,4.00,19.00,0.00,3.00,12.00,26.00,31.00,14.00,16.00,8.00,8.00,2.00,0.00,51.00,46.00,20.00,8.00,4.00,3.00,10.00,0.00,92.00
5/7/2020,Thursday,3975.00,934.00,3041.00,257.00,770.00,775.00,677.00,618.00,480.00,236.00,153.00,9.00,2038.00,1753.00,184.00,878.00,38.00,546.00,432.00,179.00,1902.00,58.00,180.00,192.00,172.00,146.00,116.00,38.00,32.00,0.00,478.00,445.00,11.00,422.00,10.00,118.00,82.00,46.00,256.00,199.00,590.00,583.00,505.00,472.00,364.00,198.00,121.00,9.00,1560.00,1308.00,173.00,456.00,28.00,428.00,350.00,133.00,1646.00
3/23/2020,Monday,1217.00,292.00,925.00,41.00,156.00,311.00,269.00,208.00,105.00,85.00,41.00,1.00,622.00,587.00,8.00,59.00,30.00,248.00,188.00,50.00,642.00,4.00,46.00,56.00,54.00,56.00,30.00,35.00,11.00,0.00,141.00,151.00,0.00,38.00,12.00,132.00,73.00,13.00,24.00,37.00,110.00,255.00,215.00,152.00,75.00,50.00,30.00,1.00,481.00,436.00,8.00,21.00,18.00,116.00,115.00,37.00,618.00
4/9/2020,Thursday,1629.00,576.00,1053.00,40.00,254.00,360.00,280.00,317.00,197.00,105.00,75.00,1.00,842.00,772.00,15.00,248.00,50.00,445.00,240.00,84.00,562.00,10.00,80.00,103.00,102.00,130.00,73.00,43.00,35.00,0.00,255.00,312.00,9.00,172.00,23.00,206.00,83.00,29.00,63.00,30.00,174.00,257.00,178.00,187.00,124.00,62.00,40.00,1.00,587.00,460.00,6.00,76.00,27.00,239.00,157.00,55.00,499.00
3/3/2020,Tuesday,33.00,0.00,33.00,6.00,5.00,4.00,2.00,6.00,3.00,4.00,3.00,0.00,20.00,13.00,0.00,2.00,2.00,6.00,3.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,5.00,4.00,2.00,6.00,3.00,4.00,3.00,0.00,20.00,13.00,0.00,2.00,2.00,6.00,3.00,0.00,20.00
4/13/2020,Monday,2144.00,678.00,1466.00,59.00,334.00,451.00,391.00,411.00,269.00,137.00,92.00,0.00,1144.00,972.00,28.00,366.00,54.00,485.00,335.00,98.00,806.00,10.00,100.00,112.00,124.00,156.00,86.00,51.00,39.00,0.00,342.00,332.00,4.00,233.00,24.00,203.00,92.00,30.00,96.00,49.00,234.00,339.00,267.00,255.00,183.00,86.00,53.00,0.00,802.00,640.00,24.00,133.00,30.00,282.00,243.00,68.00,710.00
3/30/2020,Monday,1293.00,442.00,851.00,28.00,193.00,275.00,229.00,220.00,186.00,98.00,64.00,0.00,709.00,579.00,5.00,116.00,29.00,341.00,195.00,56.00,556.00,6.00,54.00,79.00,79.00,82.00,61.00,43.00,38.00,0.00,220.00,222.00,0.00,83.00,12.00,211.00,75.00,19.00,42.00,22.00,139.00,196.00,150.00,138.00,125.00,55.00,26.00,0.00,489.00,357.00,5.00,33.00,17.00,130.00,120.00,37.00,514.00
3/11/2020,Wednesday,62.00,12.00,50.00,5.00,13.00,13.00,12.00,8.00,7.00,2.00,1.00,1.00,38.00,19.00,5.00,10.00,1.00,8.00,13.00,3.00,27.00,0.00,3.00,1.00,3.00,3.00,2.00,0.00,0.00,0.00,3.00,9.00,0.00,2.00,0.00,5.00,5.00,0.00,0.00,5.00,10.00,12.00,9.00,5.00,5.00,2.00,1.00,1.00,35.00,10.00,5.00,8.00,1.00,3.00,8.00,3.00,27.00
4/14/2020,Tuesday,2175.00,647.00,1528.00,99.00,325.00,436.00,406.00,335.00,289.00,155.00,129.00,1.00,1233.00,934.00,8.00,353.00,63.00,495.00,380.00,117.00,767.00,16.00,99.00,120.00,118.00,120.00,74.00,51.00,49.00,0.00,344.00,302.00,1.00,225.00,23.00,185.00,93.00,36.00,85.00,83.00,226.00,316.00,288.00,215.00,215.00,104.00,80.00,1.00,889.00,632.00,7.00,128.00,40.00,310.00,287.00,81.00,682.00
4/3/2020,Friday,1591.00,463.00,1128.00,23.00,239.00,298.00,310.00,302.00,213.00,134.00,71.00,1.00,889.00,687.00,15.00,159.00,52.00,367.00,195.00,59.00,759.00,2.00,73.00,63.00,77.00,92.00,77.00,47.00,31.00,1.00,253.00,208.00,2.00,112.00,23.00,182.00,78.00,15.00,53.00,21.00,166.00,235.00,233.00,210.00,136.00,87.00,40.00,0.00,636.00,479.00,13.00,47.00,29.00,185.00,117.00,44.00,706.00
3/27/2020,Friday,1337.00,404.00,933.00,25.00,191.00,315.00,271.00,249.00,154.00,89.00,42.00,1.00,733.00,596.00,8.00,88.00,25.00,334.00,203.00,61.00,626.00,4.00,43.00,62.00,86.00,101.00,48.00,37.00,22.00,1.00,210.00,192.00,2.00,68.00,10.00,206.00,70.00,13.00,37.00,21.00,148.00,253.00,185.00,148.00,106.00,52.00,20.00,0.00,523.00,404.00,6.00,20.00,15.00,128.00,133.00,48.00,589.00
3/26/2020,Thursday,1387.00,416.00,971.00,35.00,199.00,327.00,296.00,251.00,162.00,77.00,39.00,1.00,726.00,656.00,5.00,106.00,34.00,353.00,237.00,62.00,595.00,2.00,66.00,74.00,79.00,96.00,53.00,36.00,10.00,0.00,184.00,230.00,2.00,76.00,12.00,199.00,92.00,13.00,24.00,33.00,133.00,253.00,217.00,155.00,109.00,41.00,29.00,1.00,542.00,426.00,3.00,30.00,22.00,154.00,145.00,49.00,571.00
3/25/2020,Wednesday,1252.00,367.00,885.00,30.00,189.00,307.00,240.00,228.00,138.00,74.00,44.00,2.00,670.00,577.00,5.00,90.00,29.00,325.00,216.00,59.00,533.00,2.00,51.00,71.00,71.00,83.00,33.00,36.00,20.00,0.00,170.00,196.00,1.00,49.00,10.00,183.00,85.00,18.00,22.00,28.00,138.00,236.00,169.00,145.00,105.00,38.00,24.00,2.00,500.00,381.00,4.00,41.00,19.00,142.00,131.00,41.00,511.00
4/27/2020,Monday,3676.00,1137.00,2539.00,170.00,728.00,686.00,624.00,607.00,484.00,205.00,166.00,6.00,1910.00,1653.00,113.00,814.00,69.00,546.00,421.00,200.00,1626.00,42.00,230.00,200.00,230.00,198.00,123.00,50.00,64.00,0.00,558.00,548.00,31.00,502.00,23.00,172.00,101.00,66.00,273.00,128.00,498.00,486.00,394.00,409.00,361.00,155.00,102.00,6.00,1352.00,1105.00,82.00,312.00,46.00,374.00,320.00,134.00,1353.00
3/12/2020,Thursday,97.00,21.00,76.00,8.00,21.00,21.00,12.00,14.00,6.00,7.00,2.00,6.00,43.00,52.00,2.00,7.00,0.00,8.00,24.00,3.00,55.00,0.00,6.00,5.00,2.00,4.00,3.00,1.00,0.00,0.00,6.00,15.00,0.00,2.00,0.00,2.00,15.00,0.00,2.00,8.00,15.00,16.00,10.00,10.00,3.00,6.00,2.00,6.00,37.00,37.00,2.00,5.00,0.00,6.00,9.00,3.00,53.00
4/21/2020,Tuesday,2878.00,859.00,2019.00,154.00,503.00,572.00,452.00,488.00,350.00,185.00,173.00,1.00,1521.00,1320.00,37.00,534.00,45.00,608.00,410.00,116.00,1165.00,19.00,147.00,158.00,156.00,149.00,107.00,56.00,67.00,0.00,433.00,417.00,9.00,346.00,12.00,199.00,109.00,36.00,157.00,135.00,356.00,414.00,296.00,339.00,243.00,129.00,106.00,1.00,1088.00,903.00,28.00,188.00,33.00,409.00,301.00,80.00,1008.00
3/16/2020,Monday,442.00,78.00,364.00,46.00,90.00,97.00,60.00,71.00,41.00,21.00,11.00,5.00,250.00,184.00,8.00,38.00,13.00,63.00,79.00,14.00,235.00,1.00,14.00,21.00,18.00,12.00,7.00,4.00,1.00,0.00,37.00,41.00,0.00,8.00,6.00,25.00,30.00,0.00,9.00,45.00,76.00,76.00,42.00,59.00,34.00,17.00,10.00,5.00,213.00,143.00,8.00,30.00,7.00,38.00,49.00,14.00,226.00
4/24/2020,Friday,3528.00,1057.00,2471.00,125.00,588.00,661.00,575.00,581.00,519.00,255.00,216.00,8.00,1786.00,1511.00,231.00,651.00,82.00,595.00,457.00,168.00,1575.00,28.00,178.00,170.00,182.00,184.00,156.00,72.00,87.00,0.00,480.00,522.00,55.00,406.00,29.00,206.00,140.00,59.00,217.00,97.00,410.00,491.00,393.00,397.00,363.00,183.00,129.00,8.00,1306.00,989.00,176.00,245.00,53.00,389.00,317.00,109.00,1358.00
3/4/2020,Wednesday,41.00,0.00,41.00,12.00,7.00,4.00,1.00,9.00,0.00,6.00,2.00,0.00,23.00,18.00,0.00,4.00,3.00,10.00,4.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,7.00,4.00,1.00,9.00,0.00,6.00,2.00,0.00,23.00,18.00,0.00,4.00,3.00,10.00,4.00,0.00,20.00
3/8/2020,Sunday,44.00,3.00,41.00,14.00,6.00,7.00,2.00,5.00,8.00,1.00,1.00,0.00,19.00,24.00,1.00,3.00,1.00,10.00,10.00,2.00,18.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,14.00,6.00,6.00,1.00,5.00,8.00,0.00,1.00,0.00,18.00,22.00,1.00,2.00,1.00,10.00,8.00,2.00,18.00
3/18/2020,Wednesday,737.00,165.00,572.00,34.00,160.00,177.00,115.00,98.00,73.00,49.00,27.00,4.00,401.00,331.00,5.00,45.00,24.00,206.00,185.00,25.00,252.00,2.00,31.00,33.00,41.00,23.00,18.00,12.00,5.00,0.00,81.00,84.00,0.00,20.00,8.00,67.00,62.00,3.00,5.00,32.00,129.00,144.00,74.00,75.00,55.00,37.00,22.00,4.00,320.00,247.00,5.00,25.00,16.00,139.00,123.00,22.00,247.00
4/26/2020,Sunday,1556.00,425.00,1131.00,89.00,305.00,292.00,245.00,237.00,216.00,93.00,77.00,2.00,839.00,709.00,8.00,264.00,47.00,272.00,235.00,53.00,685.00,12.00,82.00,54.00,95.00,65.00,56.00,32.00,29.00,0.00,221.00,201.00,3.00,147.00,16.00,86.00,56.00,23.00,97.00,77.00,223.00,238.00,150.00,172.00,160.00,61.00,48.00,2.00,618.00,508.00,5.00,117.00,31.00,186.00,179.00,30.00,588.00
3/17/2020,Tuesday,559.00,96.00,463.00,25.00,115.00,134.00,79.00,79.00,69.00,32.00,24.00,2.00,288.00,256.00,15.00,34.00,13.00,99.00,147.00,25.00,241.00,0.00,15.00,21.00,18.00,17.00,19.00,2.00,4.00,0.00,36.00,58.00,2.00,7.00,3.00,38.00,40.00,3.00,5.00,25.00,100.00,113.00,61.00,62.00,50.00,30.00,20.00,2.00,252.00,198.00,13.00,27.00,10.00,61.00,107.00,22.00,236.00
5/5/2020,Tuesday,4459.00,1078.00,3381.00,248.00,812.00,826.00,756.00,762.00,566.00,289.00,198.00,2.00,2198.00,2063.00,198.00,869.00,69.00,591.00,523.00,145.00,2262.00,52.00,205.00,203.00,218.00,202.00,120.00,50.00,28.00,0.00,542.00,492.00,44.00,476.00,16.00,145.00,87.00,50.00,304.00,196.00,607.00,623.00,538.00,560.00,446.00,239.00,170.00,2.00,1656.00,1571.00,154.00,393.00,53.00,446.00,436.00,95.00,1958.00
4/6/2020,Monday,1695.00,580.00,1115.00,31.00,247.00,332.00,291.00,316.00,269.00,125.00,84.00,0.00,920.00,757.00,18.00,189.00,46.00,399.00,262.00,74.00,725.00,5.00,76.00,94.00,102.00,112.00,96.00,54.00,41.00,0.00,296.00,270.00,14.00,135.00,19.00,217.00,96.00,24.00,89.00,26.00,171.00,238.00,189.00,204.00,173.00,71.00,43.00,0.00,624.00,487.00,4.00,54.00,27.00,182.00,166.00,50.00,636.00
3/29/2020,Sunday,779.00,282.00,497.00,12.00,89.00,161.00,147.00,137.00,126.00,68.00,39.00,0.00,381.00,397.00,1.00,67.00,16.00,210.00,101.00,27.00,358.00,4.00,30.00,47.00,54.00,50.00,49.00,30.00,18.00,0.00,128.00,154.00,0.00,54.00,11.00,143.00,37.00,10.00,27.00,8.00,59.00,114.00,93.00,87.00,77.00,38.00,21.00,0.00,253.00,243.00,1.00,13.00,5.00,67.00,64.00,17.00,331.00
